id,monthly_spending
3C638D8D,31 - 35 тыс руб
F2264017,23000 тыс
672975DE,291 тыс р
30262871,161000 - 189000 тыс
AFB61430,134000 тыс руб
8D4814A1,29000 т
461649B2,344 тр
3EE36C30,172000 тр
FA869040,76000 тыс р
1A32FAC0,43 - 90 тыс
49FB98FE,77000 т
C003D710,153000 тыс руб
76BA9F57,324 к
EF5F94A6,193 тыс руб
96B58637,76000 тыс р
70FD0A71,84 тыс р
EC806B33,36000 - 38000 k
332CB1EC,270000 к
67B91A72,37000 - 38000 тр
7ED46856,138000 тыс руб
934B9FDD,127 тыс руб
F85DBBF7,98 к
3A1F04AD,48 тр
880315A3,57 k
13A0CDC7,74 - 83 тр
FAE38AB4,90 т
D63891CA,168000 тыс р
2BCE1ABE,179000 тыс р
2FF9B6CE,627 тыс р
C8BDA2EE,140 k
B93A08B3,92 к
88EF170B,211000 тр
88195B8E,154 тыс р
D8CABB63,175000
61FEDBF7,135000 к
3C68B185,97 k
FD5F5BEC,112 к
48886F4B,197 тыс р
69B785B9,173000 k
B042CD4C,104000 т р
A77466C6,35 т р
3C05FD96,57000 - 74000 тр
5C922BE5,45 тыс руб
ADE4E856,21 т
79C5F137,144000 k
FF02E309,65000 - 92000 k
72DC4EDC,38000 - 40000 т р
CB2228E5,74000 k
D4795AC0,111000 тыс р
BA3AE1F5,11000 к
050C019C,94000 тыс
D4A67B6C,99000 тыс
D6F4C2D5,368000 - 383000 тр
EAF90A37,78000 k
3A75FFF5,100 тр
D3B20C29,128 тыс руб
983EE877,129 k
FD43B31C,795000 k
CCFF68EA,10 k
2C8DEE33,15000 тыс
1400FC9B,34 тыс руб
64C15114,45000 к
047E279B,34 тыс р
7E772D58,36000 т
BEAA07B6,113000 т
5D44D46D,29 - 31 тыс р
86E43489,36000 к
6E0F4EC8,133 т
6504EC47,138000 тыс руб
B6DDB058,137000 тр
0383A407,49 тр
B1AAFD42,25 т р
D65F0879,12 - 13 т р
E6436BA8,132 - 170 тыс руб
A3C78542,33000 тыс руб
F6F122B3,58000 тр
E043FA99,90 тыс р
20212B62,160000
20E65C47,88 тыс
1CBE6C3C,71 т
3FCF580E,126000 - 137000 т р
E1BA8247,93 т
F6DB44D5,180 т р
59A5A77E,74000 т р
5782918A,52000 тыс
4CA1297D,243 - 357 т р
5F571252,163 - 180 тыс руб
F946D70F,330 тыс руб
93797DBC,225 k
50396F20,58 - 96 тыс
714CAF4C,134000 тр
15C3BE17,199 т
0F8203E7,389000 т р
C8547B74,52000 т
9D53EC19,15 тыс руб
1318940B,247000 к
F146E414,15 тыс р
8FE94108,44 тыс
EF792976,35 тысяч
EC839D24,12000 тр
43159A3F,73000 т
33F81573,169 тыс
433B7FF6,166000 тр
F60497EA,108 т
F950B870,72000 тыс руб
45741A75,175 тыс руб
F5AE4328,84000 - 94000 к
509B2516,122000 k
FADCC09D,119000 тыс р
36C04370,77000 т
16582CB9,55 т р
424982BC,199 - 200 тыс
4DD74A75,13000 k
C0F9C1B5,33 - 36 тыс р
CB804499,23000
44720181,15 т
279355B3,16000 - 30000 тр
FDC87DC2,87000 тр
68835E05,72000 - 73000 тыс
8C1E4875,174 тр
2A6A32E7,56 - 77 т
1D5149D5,133000 тыс р
4E7C5745,240000 - 243000 тыс р
C456F3D1,15 - 25 т
76739E80,71 k
B822ADF8,40 тыс р
18AB98B2,23 - 40 тр
8E668E29,288000 k
F94CD381,13000 т
F84CE7A5,15000 к
EAFD0ECC,128 тыс руб
CD5DC5DC,15 тыс
19F5E538,42000 - 60000 тыс р
19A6854E,41000 - 66000 к
3C463FFC,168000 к
90704B51,13000 - 14000 тыс р
B768C058,97 тыс
180D5E85,52 - 79 тыс
EBD6F255,90000 т р
220EEA92,80 тыс руб
A2076AE9,59000 к
48404ACF,45000 - 57000 k
C659E6E5,86 k
602FBEAB,40000 тыс руб
C432F065,94000 - 96000 т р
6C2EF3C6,23000 к
290B798C,35000 тр
82D9C55B,160 - 180 k
45EB0A25,36 - 37 тр
FFBB849D,199000 т
B025120B,21 тыс р
045110AF,89000 тр
EE186514,20 т р
5A186F48,35000 т
455AD10E,60 тыс руб
1E3E69D1,98000 k
F3D11824,49 тыс руб
9E0487D5,76000 тыс руб
2828FDAB,132000 тр
72FE9103,18 тыс руб
A0AA47F5,85 тыс руб
3DA7903E,10000 тр
4B5C6B7F,40000 т
9D0F8DB9,43 k
CF858A22,23000 тр
CAB73AE1,12 тыс руб
3D87F009,85000 к
3C1697E1,25 к
A6BB13CA,214 тр
C12EDFF7,140 - 150 т
2A3EF67B,64000 т р
2D5F1B2E,25000 к
F9332BE1,257000
292F801B,94000 т
74C2D634,39 k
679A50EC,184 - 195 тыс
3D7C465C,243000 тыс руб
BB277262,28000 - 30000 тыс руб
7EAEDC31,95000 k
53AC8842,243000 тыс руб
97C52981,28 - 36 т
FCAD9836,35000 т р
8CEF80BC,265000 - 287000 т р
48360D47,15 k
A2A6C7BC,17000 k
0BEF5F05,56000 к
7B875413,35000 тыс
2886D5D1,83000 тр
DDFF3929,21000 тыс р
AFF60AF3,27000 k
98C38CF9,76 - 88 тыс руб
9E97AD76,62 тыс р
0EF03312,96 т р
3AF616AB,123 к
9A171D51,120000 k
82371F7B,152 - 156 т
7CF62536,26000 тыс р
41819D63,27000 тыс р
211BB367,177000 - 194000 k
33CEE34F,140 тыс р
52B1F76E,57 - 89 тыс руб
178AC836,394000 - 395000 к
7B34F924,95 - 100 тыс
94071293,58000 тыс р
51F8ABB1,124000 т
98FAC059,37000 - 38000 k
0E307A9F,100000 тыс
C9834160,83000 тр
C1DCDB99,49000 т р
BC5FAED0,15000 - 30000 тыс
E681F765,245 к
61117496,83 тыс р
08E233D7,410000 тыс р
90AE18AA,54000 т р
0678CB34,62 - 97 тр
5C64682C,436000 тыс руб
72403D5B,333 тыс р
B3F3DEDD,13000 - 15000 тыс р
953A66A5,78000 тр
DC2FEC71,74000 тыс р
F28A71C6,45000 тыс
4B846714,30 тыс руб
BDF55097,125 тыс руб
15B8B099,117 - 142 k
F25795DA,21 тыс
63B63D06,67 тр
5174AE54,10000 к
C5B16C7B,64 тр
8B01A63B,69 т р
D1EF75D2,137000 - 144000 k
77769E62,304000 тр
22637461,258000
DA346822,103000 т р
E9CD10B7,18000 - 26000 тыс
40CB8B85,241000
CE862880,145 т р
48FD9577,588 - 660 т
66BF08E2,86000 тр
B5C27945,188 - 193 тыс
C33D2B3B,334 k
25D06CDC,77 - 80 т р
564CE4DF,72000 тыс руб
C66DCCFA,15 - 23 тыс
4E766D95,124000 - 198000 т р
19BA10D0,47000 т
F056F4B7,56000 k
CF8938C3,180000 к
0519FD84,82 т
179F2029,141 к
A98459B7,25 тр
CEAF78CF,44 - 66 k
A39E56BF,379 т р
29F04E84,43000 тыс
B772BCE5,83 тыс
B95FEDBB,51000 тр
B5BF357E,57000 тр
53C0BFB9,60 тр
A36A406E,48 т
DE716295,56000 т р
FB71B2D4,52000 тыс
8435A3CB,44 k
2F92370E,126 k
1BAA3878,393 т р
803DD642,98 тыс руб
92AE2B7F,54 тр
247EF5FE,188 тыс р
A47E2704,79000 k
D57D466A,22000 т
63B2A4F7,29 т р
6837C84E,73 - 96 т
6535ED74,48000 тр
8A6E0F5A,40000 т р
96D43B36,34000 тыс р
C570DF8A,47 к
D748BFA8,93 - 95 т
904EB1F7,34 тыс руб
53570463,51 - 80 т р
0BB8C72E,125000 к
864E2BFA,169000 т
A9BFF847,44000 - 87000 т
0D15D55C,22 - 34 к
8A28BB29,227000 тыс р
F0CFD256,82000 - 98000 т р
A3ECE04D,104 - 125 т р
0C537DED,37000 - 38000 т
4A0D0C79,81 тр
63FADFE2,174 - 188 к
4C4E8FD7,56 к
89E2CAF6,161 т
E27A02C0,69 k
779FF388,100000 k
15D279DA,116 тыс
0B26F0C2,100 k
1D8ED6B6,55 к
B6564FE5,193 к
331E7AF8,148000
B2F67BF3,82 тыс
32261D55,48 - 49 т
48D7D71C,91000 - 94000 k
0A714107,191 к
61E91ABA,180 - 190 тр
4424306D,104 тр
7A27EED6,142000 к
883601BA,60 тыс
2A69CCF4,55 к
4E2ACE08,190 - 200 к
FA6C2971,36000 тыс руб
6F0F2161,337 тыс р
177F843E,32000 т р
5C0F0FB3,121000 - 151000 тыс р
2CEABE23,175 т
2DCFBD32,48000 тыс руб
353BAF3F,50000 тыс
A9D3BC89,274000 k
36432B92,123000 т
8F677BF8,49000 - 69000 k
57EB3068,12000 - 14000 к
93C2CB0F,83 тр
1866580A,97000 - 98000 т
381209AA,67000 т
2F751612,28 к
51A732F0,70000
948DC2B8,13 - 15 тыс
7C8F208D,137 т р
C56624F1,168 тр
84301845,151 тыс р
0F6DB020,92000 - 95000 т р
CC5E637A,22 тыс р
D72D8146,172000 т
5AF32704,84 - 87 тр
11AF4AB7,97 тыс р
CE3FE42B,82 k
E0C97463,284 - 385 т
6414F0D4,37000 - 39000 к
4E48C8A5,172 - 181 тыс р
E37B93D2,37000 тыс руб
5475296A,19 т р
B7161917,51 - 96 тыс
867607E0,104000 - 136000 тыс руб
6975CED8,22 т
42897200,53000 - 91000 к
EBCDF10A,10000 k
11720A9B,20000 - 34000 т
81C62BCA,79000 тр
883B185F,36 тыс р
11C14EAE,118 - 196 тыс р
7E5EBEAD,81 - 98 k
FAD796C0,15 тыс
A379884B,323 - 378 к
531E6C31,198000 - 199000 тыс руб
B8C69EB5,38 тыс руб
C26A4FD6,32000 тыс р
C029B421,128 - 147 тыс р
D56E263E,79000 тыс р
50BC5A86,139 тыс
2D30E96D,20 к
66F78164,70 - 79 тр
B0022C64,11 тыс руб
9F1CE6E6,73000 тыс руб
9B0E877F,115000 т
3AF21F01,47 тыс р
0E2C7472,265 - 267 k
BCA895D2,81000 тыс
F1CAB037,357 - 366 тр
F0596F21,129000 тыс руб
1645B512,43 k
D034E32B,17000 тр
2C67E063,75000 тр
FF7B5C45,67000 т
7F0DB631,197 тыс руб
9AF733BA,11000 тыс р
384F996D,264000 - 336000 тыс
477F089F,85000 тыс р
241EB9DE,60000 к
21B1A9DD,141000 - 144000 т
F3BB198C,90000
75879798,51 тыс руб
7D414C7A,189 т р
B244C7B9,143000 тыс р
FD2C1279,90000 - 92000 тыс
16B656AC,43000 т р
25DE9855,126 т р
87F83399,13000 - 15000 тр
767FEB83,50 - 69 тр
F49CB5AE,49000 т р
21655CA5,37 т р
24EE15DD,22000
79CA7437,47 - 92 к
7A9A3FE9,75000 тыс руб
CD2C98C2,172000 к
DCE9F20D,140 - 176 тыс
C6ABA64D,249 тыс руб
7E78B86D,47000 - 91000 тр
BE2E5173,15 k
428FFF05,368000 - 400000 т р
878DDE22,18 k
35796819,106 т р
126C3B22,199000 к
2D3989F4,49 - 50 тыс р
BB7B77E9,89000 - 99000 т
509346B7,18 т
C6CD724E,29000 тыс
4A5CF6F6,73 т
C7B8CDEB,75 тыс р
2B408E87,44 - 53 тыс руб
833C4E8D,140 т р
FEF3003D,233000
FC541F50,16000 тыс
510FC5C7,42000 - 49000 тр
9A03A8E4,189000 тыс
B250D133,23000 - 25000 т р
C6CD17EB,10 тыс руб
020E0527,199 т
84D8419B,35 тыс руб
8970E013,95 т
4352FD5D,55 т р
6B0015A8,87000 - 95000 тыс
4A5FB3D6,277000 т
19F87543,131 т
0FE28370,36000 тр
95E322F3,144 - 157 т
E72364C0,11000 тыс р
6AF1E014,90000 к
564FD917,19000 - 34000 k
55E69C9D,13000 тыс р
15DC1FD4,21 тр
EB7A1D26,94000 т
C9DD3765,27000 k
0D3C9CB3,29000 - 34000 т
5F95F377,327000 т
AE480267,322 т
F73F12D5,38000 - 39000 тыс
4B2B7D0E,135000 - 190000 тыс руб
4E9D2454,359000 - 365000 тыс р
D6E03935,240 k
0F32E706,49000 т р
5A984280,175 тыс
0E539A71,50 тыс
57CDE331,194 k
0FF876EA,50 т
B5B61A57,101000 - 137000 тр
781151B6,131 к
30E3CED0,12 к
4A9088FF,85 - 87 тыс р
DFF52F62,68000 к
7A950344,255000 тыс р
F6E18B0C,19 тыс
E935AF72,396000 - 397000 тр
14931D84,183000 - 192000 т р
AFC629E2,73 - 94 k
483565C7,393 - 399 тр
06B52046,73 тр
40EF01FD,60000 тр
D00E5E16,34000 к
E9D4F40F,181 т
DA826515,116000 тр
033014D7,14000 т р
1DBA4492,85000 т р
E9900689,36 тысяч
19A37358,40 тр
4116E071,28000 - 38000 тр
A6DA390F,149000 тыс руб
730E18BD,11000 тыс р
DF3805D5,30 тр
FD945290,74 к
41A518FC,45 т р
978C1430,143000 - 164000 тыс руб
89DB99D6,86000 тр
133A58AC,320 тыс р
A11334FD,47 т
7C183B35,182000 - 188000 т р
C0D26973,145000 т р
14345BEF,44000 - 77000 тр
DE6BBAFF,374000 т р
A6ABC7A4,62000 т р
4A98C304,62 тр
A9F9978C,393000 тыс р
E977915E,142 тыс
DA3C87E7,109000 к
C957C43B,9000 тр
9C39B537,100000 k
E39991E7,95 - 97 тыс руб
70D40446,21000 к
C6DDD425,55 тыс р
E4864ECB,24000 - 30000 тыс р
26462859,196000 k
4979431F,187000 тр
F711D524,292000 к
C45A423A,190 тыс руб
41D2117D,15 тыс
6C54BEF1,80000 т р
519530F0,110 - 186 к
F44F8AC6,49 - 62 тыс р
FA145A49,143 - 189 т
006ECC91,27 - 37 т р
3ED26E37,74000 тр
AA2449A9,80000 тыс
C1E5FF61,78 тыс руб
98CB2B6D,39000 k
88DB69A9,15000 k
A00B18DA,150000 к
C3925AAF,19 - 25 тыс
A3D5ECF8,58000 т р
C9E6740D,59 тр
08C19DB3,84 - 92 тыс
183AABD3,206 - 271 т
A10281EC,60000 - 83000 т р
78310FB5,57000 k
A74A6CAB,87000 тр
E39BD1F6,94000 - 95000 к
EED48DDF,41000 k
F1FE7A0B,238000 - 258000 тыс р
3FC3B412,113 - 181 к
19D2F593,183 тыс руб
03278F54,100 тыс
C0CC10D7,75000 тыс руб
22F863DE,193000 к
79ED00FF,428 т
11DCA29E,194 тыс
8A366DC3,341 тыс р
1AE81B1B,75000 т р
5159DBED,34 к
4B21F34B,39 тыс р
D480E15A,120000 тыс руб
38DFEB0D,15 т р
6FBFDD5E,146000 к
2EA86B30,274000 т
907CA7E9,177 - 181 k
FC5CA605,796000 т р
FD83979C,30000 - 37000 т р
F62BDB89,74 - 85 тр
7EDEEBDC,76 тр
F3070566,39 тыс руб
EB30476E,85000 - 100000 тыс
B3BB7AF5,23 т р
776BDFFC,74 k
717FB8D6,110 k
B57A7F0A,358 т
31667CD7,44000 - 52000 тыс р
A518C263,62 - 64 тыс
CB8A11ED,33000 - 36000 тр
5F23EB91,86000 т
C77CB560,25 т
411D8E99,45000 тыс руб
1A1DA46A,314000 т
AC875895,74 - 88 k
813158DA,17000 тыс р
3CA81C50,34000 - 38000 к
E48BA1D9,118000 - 141000 к
2C9F4718,27 k
7C27BF31,34 - 40 тыс руб
15BADF05,97 тыс р
AC136CB7,9 т р
A19C6907,10000 - 15000 тр
22DBDD16,168 тр
5AD5DED5,89000 - 100000 т
51B0E1CF,43000 тыс р
5593FE0E,726000 тыс
B1C43DFB,64 k
E88D309C,18000 тыс
1CC392AE,643000 тыс руб
09FB7B17,799000 k
34D3C35C,98 тыс
81575128,186 тыс
7B34ACAD,9 тр
CED548D6,96000 тыс р
D26CF50E,30000 к
46B13BF3,184 тыс р
28DB926D,38 к
C44F82A5,20000 т
6CFE6B8A,55 - 82 т р
3A2EFABB,72000 k
C1DBB4E4,292000 - 314000 тыс руб
F54ADFEB,30000 т
009B811C,155 - 197 тыс
46995F0D,35000 тыс
04C66C87,189000 т
5DFBAB6E,69000 - 72000 k
26545A43,58000 тыс руб
6D63CCF4,85000 - 89000 т
6A16171C,90 - 93 тр
05AA9C5D,94000 к
5F9E372C,35 т р
C78D8D7A,58 тыс р
E36F5A68,68000 - 88000 т
6640DA19,25000 т р
0A60D309,13000 тыс
D81960AF,54000 к
30639806,134 т р
24035AE4,10000 - 15000 к
339179DF,44000 - 48000 k
CD3FD7E1,54 т
77E20252,69000 - 77000 тыс
99F14161,97000 к
35F4C92E,46 т р
B8823981,24 - 38 тыс р
375E52FB,198 тыс
4FC28E26,87000 тр
9F89EFC3,71 тыс
2FA27FC9,23000 т р
796D8E23,227000 - 266000 тыс руб
E9490FD8,29 - 39 тыс
732A7837,15 тыс р
8DA3BAF8,13 - 14 тысяч р
D24DAE17,115 тыс р
47B9D64B,306 - 366 тыс р
BD20D1F0,167000 к
A68FB6EF,144 тыс
C4BFD19A,35000 - 39000 k
DCE90266,323 тр
41D87E94,123 тр
58F0DA2A,97 тыс р
D251CF56,114 - 115 тыс р
3C0D3762,284000 - 315000 тр
C7A24556,112000 - 199000 т р
4DE7DC5E,193 т
22142895,54000 - 64000 т р
6827A0C0,68000 - 90000 т
7098F44E,85000 k
04BC7D6F,362 тр
6A3A42A2,33 т р
31BA9B85,69000 k
5F435307,31000 т р
DD576D95,27000 - 31000 к
EFF92EF7,87000 тыс р
18432DCF,91000
EC680169,49 - 97 тыс
E56A1D4E,15 тыс
A2310B59,9000 - 13000 к
EB449ECD,55000 k
AE198F1C,160000 - 195000 тр
388949AE,190000 k
222DF120,70 тр
3F569043,186000 тр
0505F080,305 - 324 тыс
41D781F6,72000 тыс
0AF79992,96000 - 97000 к
1D18721A,65 к
AEDC5BDE,161000 k
671D2DB7,333 - 354 k
1203F015,27000 к
237F8CB1,83 к
1C7D2A2D,87 тыс
DD7DDFF2,15 k
2466A609,415000 k
7EFBCC8B,142000 тыс
1A014D4D,199 к
FC426F51,189000 тыс р
0AF372D9,187000 тр
80EB24E6,12 тыс руб
61AC9CBB,44000 тыс
F3F6086E,345000 тыс р
79427D2A,30 тыс руб
96C922FB,170 тр
60C17C42,13000 тыс руб
8A4D1649,24000 тыс
2D7C4AEC,17000 k
6F6B484D,83 - 91 тыс р
7DB8E9AB,158 - 192 к
B64AA9B6,161 - 176 к
785C5B47,84000 тр
05118CB3,93000 k
7AD25D03,75 - 96 тыс руб
46AEBAE5,122000 - 161000 тыс р
0026B92C,129000 тр
D36BE018,20 - 39 т р
497D8DD5,9000 т
81E07D1E,78000 - 79000 k
207C7D5E,62000 тыс
B8435A93,126000 тыс р
2A3A58C7,32000 т р
EB357F32,180000 - 197000 тыс р
F3C8DE69,187 к
4B1219DB,46 - 79 тр
CAD2AC83,184000 т
3548B72F,176 тыс р
4F77CA9E,20000 тыс
01D4988C,55000 - 71000 т
DE64E886,53 т
34B73D94,46000 - 57000 тыс
72F9278C,80 т р
7BC0BF1A,11 тыс руб
046EE01D,38000 т р
34BC047E,325000 к
97F281BA,30 т р
102A0601,30 - 36 т
3C571D7C,183 т
FF03CD57,776 - 792 тр
68F71648,175000 - 185000 тыс руб
6D04657B,10000 тр
FFD9A6CE,704000 тыс руб
36FE4C66,420 - 790 тыс р
DE8AEF4B,61000 k
92BE5668,98 т
28FD52C9,26 k
D9244F23,19 - 23 т
6F56CF53,193000 тыс р
D7AED14D,36 тыс
FFC5CBC4,31000 - 32000 тыс руб
B7FCBE0E,41000 тыс
CBDF09F1,134000 k
6635DF29,65000 - 78000 тыс руб
EF398903,256 тыс руб
EF634490,37000 т
C5E80B2D,22 - 25 тыс руб
38F31E15,57000 k
E78CB92E,95000 т р
D6CC1AA0,184 т р
CA9864ED,73000 к
C7520F92,172 - 179 т
AA889AF8,177 - 188 т
68650950,115000 тр
98D00C2C,17000 тыс р
F95DA1EC,67000
9B3E702A,339000 тыс руб
34C78B55,38000 к
4B1F33FA,18 k
24D55BEB,11000 тр
BB789491,135 - 179 тр
2808DE18,22000 тр
3E85E666,32 - 40 k
EB616C3B,165000 т р
8AC225A9,37000 т
1AC4D1BB,77000 к
FB2BDC8A,485000 тыс руб
BE5D939D,39000 k
A8C99392,62000 т
75F99709,15000 тыс руб
130120EC,12000 к
62C2AA99,49 тр
CAACBEFF,42 тр
48D98140,57000
5FEEE785,40 тыс р
14EBF638,24 т
0D8F73B4,46000 - 91000 тыс руб
3690716F,99000 т р
10713951,197 тр
923EBBC6,117 тыс руб
86D04329,26 к
4FC39647,29000 - 31000 тыс руб
1A82119D,49000 т р
B5A7B1F2,723000 тысяч рублей
9FF76410,15 тыс руб
CE38CE92,174000
81E940D8,28000 т р
A631EFA5,179000 т
75CBD8E4,174000 тыс руб
741FE040,187000 тыс
B3C1B1C2,20000 т
4F5CC8BD,109000 тыс р
0DEB0B99,42000 k
27E345BE,190 т
B4B2241E,283000 - 343000 т
E1C79DB9,78000 тыс
C51A7EDF,185 тыс руб
B054B9CA,24000 к
E06DD605,47000 т р
F869EE0A,175 k
A8AC472A,256 тыс
CC4DECE0,157 тыс руб
E249524E,22000 тыс
C9AF6351,153000 - 191000 k
01A508DA,34 - 37 тыс руб
6618425D,340000 т
C6A11414,44000 k
DE0667D0,112000 тыс руб
21BF785A,50000
9C7400C3,46 т р
47DB9693,263 - 297 к
973D7FC1,31000 т р
0641CF45,304 тыс руб
7ECB7182,82000 тр
3B1B3CBA,77000 т
CC47B7A5,75000 т р
AAEEAEEB,95000 тр
04FEAA58,81000 к
374CFD4A,65 тыс
258DCCE5,288 k
EBD22294,292000 - 295000 тыс
86862024,10000 т р
FB75E180,30000 т
B5FA5C0C,84000 - 85000 к
DB621175,139 т р
DB1B1889,27 тр
34C6CFC8,66 к
C4DEEF03,340 тр
F2FA63B4,14 тр
2516A674,42000 - 98000 тыс
6AFC7A43,72000 т
58B430C2,24 т р
7A40C2FC,150000 - 159000 к
DC39235D,118 тр
1E9C9201,32 т р
FEE180AC,40 т
2436F5F5,146 тр
989B6F4E,24 - 36 тыс р
118017DA,142 тр
0ADBA2A4,180000 - 193000 тыс руб
56A73905,92 т
452EFEAD,23 т р
8EF01ECD,21 - 25 тр
D5ADD7A3,165000 т р
17D8A597,52000 - 65000 т р
3CE5DCB5,186 - 196 k
48D313E5,42 - 49 тр
AE5D3494,24000 т р
BD761991,71000 - 97000 т р
7722D54C,40 тр
82A22ECC,186 тыс р
7515128C,132000 т р
E4AD9463,103000 - 163000 k
899268D1,115000 тыс р
55767638,38000 т р
B166516C,50000 тыс руб
7F8D0B0A,75 - 94 тыс р
4F147DAE,18000 тр
E4C06FE5,566000 к
831FC0BC,98000 тр
B5C6135E,15 к
69AD0A8B,40000 тыс
1B251444,200000 т
601A9DD7,164 к
2E6C6FFA,80 т р
EEC6318C,82 т
24BA1E75,55000 - 59000 тыс р
F638E913,87 k
EAEFBC62,76000 - 82000 т р
C98E3207,191000 т р
1D65A36F,109000 - 155000 к
A0581F99,81 к
01EB9907,160000 к
B0374ED7,60 к
DDE641F1,129000 т р
985C2A0C,108000 - 127000 k
A1F1D113,45000 k
F534808A,33 тыс р
96FD84B1,231 - 278 к
A30095BB,27 т
C3C75721,40000 т
5074B50D,72000 тыс руб
84945AA1,263 т р
55253216,84 т р
D26339F3,19000 тыс р
23216950,149000 т р
E2CFCB04,114 k
E6BC3DB9,57000 т р
78251509,190000 тыс р
A3E420CD,15 тыс р
7839DE50,84000 - 87000 тыс
4F495FA7,15 к
1D6D575D,158 тыс р
E2E68B21,50000 - 69000 к
AEF79352,628 к
CC228F11,51000 т р
60D3CDDA,163 - 181 к
E12B7094,273 тыс р
B3D6AAE9,160 - 171 т р
2499F809,26 т
DCD3632B,82000 k
B7F510BB,11000 k
1431D4B7,95 т р
4B1A3012,69 - 100 тыс
69105600,192000 к
AEA7EBA2,13000 тыс
C3D14293,29000
72D66FC6,59 - 88 тыс руб
62C85693,31 - 35 т
A390AFF7,36000 т р
3F2DE785,343000 - 386000 k
EC181871,63000 тыс
102E1CCE,198000 к
66FABBCD,336 k
21638DE6,77 т р
B5B061E7,16 т
ADB35A7A,63 тыс
C349E6E2,22000 k
3C3FF45F,173 тыс руб
40D8A1A6,43000 т
593998B2,108000 - 161000 тыс р
CD213544,86000 k
2B5826EB,483 т
28A69BC8,19 - 35 т р
A88CC599,286 - 333 тыс р
05251F13,41000 k
419D9AE6,25 - 37 тыс р
9ECE11A2,54 т р
488F82E9,37 k
CFABC2F4,38 тр
7726F6F1,66000 - 99000 т
DEBCFE84,769000 - 775000 к
3682EFD0,46000 к
E60EAF4D,35000 тыс руб
9485F833,58 - 65 т р
665D1245,100 - 109 т р
8838D0B9,34000 тыс руб
9748DEEC,16 тыс
34118149,122 - 196 тр
54AE27A3,48 тыс руб
91EDD82E,198000 k
306C7362,98 к
1F46777F,27000 - 30000 тыс р
72941B03,86 тыс руб
66205686,46000 тр
3CD90A06,172 k
81E16088,180 k
E82B1D99,192 k
F2C6B3E7,48000 - 81000 т
0D581BE7,15000 k
3F2A9C91,30 тыс
4F8537F6,176000 - 180000 k
EF1CB578,767 - 790 т
9A2F499A,74000 - 97000 т
61627B30,41000 тыс руб
7B7FA969,140000 тыс
A0CB5D25,77000 тыс р
ED03C683,176000 к
919C4D44,191 - 200 тыс руб
FB8D1972,48000 - 57000 тыс р
5C9F96DB,98 т
E00F1589,775000 тыс
5E9FAEAB,158000 - 170000 k
412B289B,80000 т р
C67AC467,328000 тыс руб
F9906E32,36000 тр
7C40917F,174 т р
7D90BAAB,83000 тыс р
6F2BE4A6,62000
1FC7708C,27000 - 28000 тыс р
FE1BFC0F,29 тыс руб
B51A6F07,109000 - 182000 k
273B1465,359 тыс руб
3C627842,211 - 258 т
B9E412F5,498000 тр
166B0727,18 - 30 k
60F1FA76,150000 k
B9E92AD7,170000 тр
DA6CC601,10 тыс р
E361AEB0,146 тыс
15D3FAC0,18000 k
8C9C64C6,13000 к
FBD11990,31000 к
0DC68FDB,123 тыс р
BE0380D9,331000 т
E0F9F487,53 - 67 тыс
47BAD2ED,181000 - 184000 т р
BE777EEC,62 к
14B4E2F3,258 т
BB06FEDB,184000 т
9BB27632,85000 - 87000 тыс руб
7F3EDAEF,110000
889953D3,168 к
31B3748A,76000 k
BE47CEF2,58000 тыс
0F4E2BD8,19000 тыс руб
C6D9B557,163 тыс
C25510EA,32 тыс
1F88D5DA,295 к
52DD6588,142000 - 147000 тыс руб
824754E4,25000 т р
BB6833DE,203000 k
D266A2AE,22 тыс р
0D0D902B,63 тыс руб
61C638E1,134000 т
8E98B2DE,25000 т
4574DB93,52000 тыс р
7A4C22D7,164000 к
A218C254,77 к
849AC62D,65 тыс
3252C580,41000
E2AED9A6,57000
7A0DA7BA,155 k
1C3544BA,85000 - 89000 тыс р
F76CB9E5,38000 тыс р
8A5AEBD3,182000 тр
B3B88689,67000 - 68000 k
4441E5E6,337000 тр
80CD9C40,54000 - 98000 т р
C284DA8A,150000 т
F8CDA525,178 т
CE025BB1,86000 - 94000 к
4D358494,61 тыс руб
42C9CBB5,76 - 96 тыс руб
372F5431,55000 т р
0C9D00F4,289000 т
B7586FCD,63 тыс
ACC4A3AD,129000 т
1118C5F1,56 к
F50B4DA4,102000 т р
367D9853,99 - 100 т р
CF2725B0,46 т
21929200,94000 тыс р
186B5ADB,102 - 126 к
B06A9D8E,52 - 82 тр
ABB40168,75000 к
8AA4AD07,34 т
FC985D64,199000
1697C2E0,49 k
95B3672C,35 т
8A0129BB,158000 - 184000 k
31A7E1D6,28 - 29 тыс
598FC1B8,51000 т
96D0021C,159000 тыс руб
B8D02458,36000 к
37BA740D,85 k
38650011,146000 - 195000 т р
0E1AA124,29 - 32 т р
8D302A19,83 - 90 k
DDE65634,40 т р
794DADA7,161 т
14689098,148000 т р
7C929AC1,56000 к
C2106361,14000 т
BA5F996F,15000 т р
D5C7D0D8,391000 тыс
CA145983,53 тр
AE3DE29C,43000 - 45000 тыс руб
55412284,80000 тыс р
DBE7712B,197000 - 200000 тыс руб
AF48EBD7,80 т р
D79762FB,355 - 385 тыс руб
C165384D,90000 тр
1E99F016,80 - 98 k
722F67AA,11 к
